driver_id,name,phone,city,zone_id,vehicle_type,joining_date,account_age_days,is_active,kyc_status,aadhaar_verified,dl_verified,dl_expired,vehicle_rc_verified,bank_account_verified,bank_account_type,trips_last_30d,completion_rate_30d,cancel_rate_30d,dispute_rate_30d,cash_trip_ratio_30d,avg_rating_30d,night_trip_ratio_30d,avg_fare_30d,avg_distance_30d,total_trips_lifetime,monthly_earnings_avg,churn_risk,shared_device_flag,duplicate_account_flag,document_mismatch_flag,fraud_ring_id,ring_role
fae91ffd-cdc1-4bc7-8156-98ea95dd89b8,Rajesh Ghosh,+918494990595,bangalore,blr_koramangala,mini_truck,2025-11-03,171,False,expired,True,False,False,True,True,cash,82,0.9052,0.0448,0.0007,0.17,4.1,0.0795,567.11,18.56,486,30906.61,0.0744,False,False,True,,
9ecfc51d-1e2e-47d3-a716-78bd1853ca6b,Naveen Mehta,+917216929354,bangalore,blr_bannerghatta,three_wheeler,2022-01-20,1554,True,verified,True,True,False,True,True,bank,58,0.9434,0.0066,0.0008,0.1836,4.39,0.0565,237.17,9.48,2808,8707.5,0.0833,False,False,False,,
e1864021-85e1-4345-becc-4b2b7d02c3d3,Rajesh Agarwal,+919373555087,bangalore,blr_hsr,two_wheeler,2020-05-20,2164,True,verified,True,True,False,True,True,upi,61,0.931,0.019,0.0016,0.2047,4.1,0.0363,101.15,8.04,6183,7029.97,0.2288,False,False,False,,
8225236a-76e4-480c-8077-20e532149648,Rajan Gupta,+917206205311,bangalore,blr_bannerghatta,truck_17ft,2025-04-12,376,True,verified,True,True,False,True,True,bank,71,0.9437,0.0063,0.0005,0.1928,4.12,0.0076,2974.2,72.83,632,46826.25,0.168,False,False,False,,
09e04c10-6c5b-40da-b736-1da776c4a0b9,Abdul Gupta,+916628880114,bangalore,blr_yeshwanthpur,two_wheeler,2024-05-01,722,True,verified,True,True,False,True,True,upi,50,0.9,0.05,0.01,0.3385,3.56,0.0917,43.67,2.14,1773,6945.38,0.4991,False,False,False,,
30f6b885-465d-40fd-82de-2bf5c680c9ae,Sanjay Singh,+916599367221,bangalore,blr_marathahalli,two_wheeler,2025-05-06,352,True,verified,True,True,False,True,True,upi,63,0.9375,0.0125,0.0036,0.2653,4.35,0.0202,133.01,11.87,1312,8576.62,0.0316,False,False,False,,
f0a0dd47-bdd1-4386-ba1e-d9d6551336c6,Senthil Shah,+918639444511,bangalore,blr_indiranagar,truck_14ft,2023-03-11,1139,True,pending,False,True,True,True,True,upi,98,0.9496,0.0004,0.0008,0.1084,4.31,0.0156,1205.42,29.84,2643,45766.3,0.0458,False,False,False,,
338fa75a-21f2-4c07-ab19-8e2caf5de816,Ravi Raju,+916636438297,bangalore,blr_hebbal,truck_14ft,2025-05-26,332,True,pending,True,True,False,False,True,upi,78,0.9441,0.0059,0.0067,0.1105,3.97,0.12,1708.24,56.2,764,49309.08,0.0812,False,False,True,,
3043f3f3-e84a-4ebc-8fb4-7ea12cd610e7,Ritesh Kumar,+918275339653,bangalore,blr_rajajinagar,two_wheeler,2023-08-13,984,True,verified,True,True,False,True,True,upi,80,0.9435,0.0065,0.0008,0.1199,4.66,0.0701,58.46,4.11,2667,6139.14,0.2448,False,False,False,,
033e17d2-7121-4902-8066-9eba1371b1be,Paresh Raju,+919850328658,bangalore,blr_koramangala,two_wheeler,2025-05-05,353,True,verified,True,True,False,True,True,upi,88,0.9484,0.0016,0.0016,0.2115,4.82,0.0447,86.55,6.96,685,5009.03,0.2891,False,False,False,,
